date            ibm           sp
19970731       0.171745      0.078123
19970829      -0.039480     -0.057446
19970930       0.045623      0.053154
19971031      -0.070755     -0.034478
19971128       0.113706      0.044587
19971231      -0.044521      0.015732
19980130      -0.056153      0.010150
19980227       0.059620      0.070449
19980331      -0.005386      0.049946
19980430       0.115523      0.009076
19980529       0.015922     -0.018826
19980630      -0.022872      0.039438
19980731       0.154056     -0.011615
19980831      -0.148340     -0.145797
19980930       0.140954      0.062396
19981030       0.155642      0.080294
19981130       0.113434      0.059126
19981231       0.116578      0.056375
19990129      -0.006102      0.041009
19990226      -0.072469     -0.032283
19990331       0.044183      0.038794
19990430       0.180183      0.037944
19990528       0.110200     -0.024970
19990630       0.114224      0.054438
19990730      -0.027563     -0.032046
19990831      -0.007996     -0.006254
19990930      -0.028600     -0.028552
19991029      -0.188017      0.062539
19991130       0.050204      0.019062
19991231       0.046695      0.057844
20000131       0.040556     -0.050904
20000229      -0.083563     -0.020108
20000331       0.148418      0.096720
20000428      -0.055085     -0.030796
20000531      -0.035830     -0.021915
20000630       0.020373      0.023934
20000731       0.026241     -0.016341
20000831       0.175142      0.060699
20000929      -0.147727     -0.053483
20001031      -0.124444     -0.004949
20001130      -0.049442     -0.080069
20001229      -0.090909      0.004053
20010131       0.317647      0.034637
20010228      -0.106875     -0.092291
20010330      -0.037237     -0.064205
20010430       0.197130      0.076814
20010531      -0.027792      0.005090
20010629       0.010733     -0.025004
20010731      -0.068938     -0.010772
20010831      -0.048665     -0.064108
20010928      -0.082341     -0.081723
20011031       0.178260      0.018099
20011130       0.070880      0.075176
20011231       0.046457      0.007574
20020131      -0.108052     -0.015574
20020228      -0.089258     -0.020766
20020328       0.059927      0.036739
20020430      -0.194615     -0.061418
20020531      -0.037727     -0.009081
20020628      -0.105034     -0.072465
20020731      -0.022222     -0.078995
20020830       0.072869      0.004881
20020930      -0.226453     -0.110013
20021031       0.353799      0.086436
20021129       0.102990      0.057070
20021231      -0.108375     -0.060333
20030131       0.009032     -0.027415
20030228      -0.001279     -0.017004
20030331       0.006158      0.008358
20030430       0.082494      0.081044
20030530       0.038869      0.050899
20030630      -0.062926      0.011322
20030731      -0.015152      0.016224
20030829       0.011323      0.017873
20030930       0.077064     -0.011944
20031031       0.013019      0.054962
20031128       0.013634      0.007129
20031231       0.023636      0.050765
20040130       0.070673      0.017276
20040227      -0.025899      0.012209
20040331      -0.048290     -0.016359
20040430      -0.039961     -0.016791
20040528       0.006805      0.012083
20040630      -0.004967      0.017989
20040730      -0.012252     -0.034291
20040831      -0.025267      0.002287
20040930       0.012398      0.009364
20041029       0.046769      0.014014
20041130       0.052033      0.038595
20041231       0.046053      0.032458
20050131      -0.052343     -0.025290
20050228      -0.007065      0.018903
20050331      -0.012962     -0.019118
20050429      -0.164150     -0.020109
20050531      -0.008248      0.029952
20050630      -0.017869     -0.000143
20050729       0.124798      0.035968
20050831      -0.031632     -0.011222
20050930      -0.004962      0.006949
20051031       0.020693     -0.017741
20051130       0.088178      0.035186
20051230      -0.075366     -0.000952
20060131      -0.010949      0.025467
20060228      -0.010578      0.000453
20060331       0.027792      0.011065
20060428      -0.001576      0.012187
20060531      -0.025990     -0.030917
20060630      -0.038548      0.000087
20060731       0.007680      0.005086
20060831       0.049864      0.021274
20060929       0.011980      0.024566
20061031       0.126800      0.031508
20061130      -0.001191      0.016467
20061229       0.056897      0.012616
20070131       0.020587      0.014059
20070228      -0.059607     -0.021846
20070330       0.014203      0.009980
20070430       0.084341      0.043291
20070531       0.046864      0.032549
20070629      -0.012664     -0.017816
20070731       0.051306     -0.031982
20070831       0.058202      0.012864
20070928       0.009512      0.035794
20071031      -0.014261      0.014822
20071130      -0.090768     -0.044043
20071231       0.027762     -0.008628
20080131      -0.009158     -0.061163
20080229       0.066754     -0.034761
20080331       0.011242     -0.005960
20080430       0.048289      0.047547
20080530       0.076471      0.010674
20080630      -0.084215     -0.085962
20080731       0.079727     -0.009859
20080829      -0.044929      0.012191
20080930      -0.039185     -0.090791
20081031      -0.205113     -0.169425
20081128      -0.116919     -0.074849
20081231       0.031373      0.007822
20090130       0.088997     -0.085657
20090227       0.009602     -0.109931
20090331       0.052809      0.085405
20090430       0.065229      0.093925
20090529       0.035074      0.053081
20090630      -0.017501      0.000196
20090731       0.129381      0.074142
20090831       0.005681      0.033560
20090930       0.013215      0.035723
20091030       0.008361     -0.019762
20091130       0.052152      0.057364
20091231       0.036011      0.017771
