Year Mon Dat  VALUE
1990 10 01   5895.8
1991 01 01   5918.1
1991 04 01   5988.9
1991 07 01   6057.2
1991 10 01   6123.8
1992 01 01   6221.4
1992 04 01   6325.5
1992 07 01   6416.8
1992 10 01   6522.1
1993 01 01   6581.1
1993 04 01   6653.0
1993 07 01   6724.8
1993 10 01   6835.2
1994 01 01   6944.6
1994 04 01   7068.7
1994 07 01   7153.8
1994 10 01   7269.8
1995 01 01   7339.2
1995 04 01   7390.3
1995 07 01   7473.1
1995 10 01   7574.6
1996 01 01   7676.6
1996 04 01   7829.9
1996 07 01   7919.3
1996 10 01   8054.7
1997 01 01   8160.1
1997 04 01   8307.7
1997 07 01   8433.1
1997 10 01   8522.3
1998 01 01   8626.0
1998 04 01   8721.4
1998 07 01   8856.8
1998 10 01   9039.0
1999 01 01   9171.4
1999 04 01   9280.5
1999 07 01   9430.1
1999 10 01   9643.2
2000 01 01   9740.5
2000 04 01   9983.5
2000 07 01  10048.0
2000 10 01  10184.9
2001 01 01  10206.2
2001 04 01  10350.9
2001 07 01  10332.2
2001 10 01  10463.1
2002 01 01  10549.7
2002 04 01  10634.7
2002 07 01  10749.1
2002 10 01  10832.2
2003 01 01  10940.2
2003 04 01  11073.6
2003 07 01  11321.2
2003 10 01  11508.3
2004 01 01  11707.8
2004 04 01  11864.2
2004 07 01  12047.3
2004 10 01  12216.6
2005 01 01  12486.3
2005 04 01  12613.0
2005 07 01  12848.7
2005 10 01  12994.1
2006 01 01  13264.0
2006 04 01  13423.3
2006 07 01  13514.8
2006 10 01  13683.2
2007 01 01  13859.8
2007 04 01  14087.6
2007 07 01  14302.9
2007 10 01  14489.9
2008 01 01  14520.7
2008 04 01  14647.3
2008 07 01  14689.2
2008 10 01  14317.2
2009 01 01  14172.2
2009 04 01  14164.2
2009 07 01  14281.9
2009 10 01  14442.8
2010 01 01  14637.6
