date       dec1     dec2    dec9    dec10
19811231 -0.032349 -0.02186 -0.003065 -0.028879
19820129 -0.01427 -0.03119 -0.021786 -0.006772
19820226 -0.054569 -0.050299 -0.044828 -0.041014
19820331 -0.008096 -0.009509 -0.001101 -0.006003
19820430 0.036001 0.051338 0.040044 0.038886
19820528 -0.021587 -0.038903 -0.027917 -0.019453
19820630 -0.015556 -0.02943 -0.029271 -0.031733
19820730 -0.018898 -0.035237 -0.023055 -0.01294
19820831 0.12792 0.123537 0.083156 0.064037
19820930 0.008445 0.014075 0.029422 0.027618
19821029 0.104797 0.12518 0.147729 0.151446
19821130 0.039396 0.047456 0.073883 0.099093
19821231 0.01213 0.014769 0.02517 0.007787
19830131 0.039064 0.028275 0.076123 0.107242
19830228 0.025498 0.028056 0.050677 0.051508
19830331 0.031406 0.027774 0.041157 0.058068
19830429 0.078297 0.061569 0.081621 0.071337
19830531 -0.020074 0.022277 0.082803 0.123791
19830630 0.038691 0.025471 0.027798 0.039943
19830729 -0.03524 -0.035805 -0.017412 -0.019394
19830831 0.020524 -0.001009 -0.024283 -0.03861
19830930 0.011382 0.020705 0.00232 -0.004633
19831031 -0.009432 -0.02314 -0.063904 -0.070552
19831130 0.017569 0.019818 0.05045 0.047765
19831230 -0.004081 -0.013227 -0.019377 -0.028683
19840131 0.004074 -0.014173 -0.006453 0.017792
19840229 -0.029145 -0.046821 -0.062253 -0.071658
19840330 0.011127 0.027848 0.005315 -0.001133
19840430 0.015204 -0.006221 -0.0175 -0.026666
19840531 -0.04987 -0.052277 -0.057042 -0.060429
19840629 0.020115 0.032594 0.030853 0.012883
19840731 -0.006202 -0.016055 -0.053549 -0.064245
19840831 0.105876 0.111895 0.120268 0.09716
19840928 -0.000292 0.004317 -0.011646 -0.0112
19841031 0.004338 0.011037 -0.021122 -0.035719
19841130 -0.011351 -0.000779 -0.024946 -0.054643
19841231 0.024541 0.032975 0.017579 -0.005108
19850131 0.072697 0.071289 0.148899 0.159419
19850228 0.014848 0.027263 0.023666 0.035784
19850329 -0.003125 0.021047 -0.030419 -0.024184
19850430 -0.001253 -0.000191 -0.015519 -0.019622
19850531 0.060591 0.074883 0.031929 0.01897
19850628 0.015477 0.023886 0.015495 0.005653
19850731 -0.006686 -0.013512 0.026792 0.028384
19850830 -0.004333 -0.005601 -0.006616 -0.006203
19850930 -0.027689 -0.043245 -0.051911 -0.0578
19851031 0.042414 0.067547 0.032841 0.017304
19851129 0.070169 0.0707 0.065499 0.053133
19851231 0.049037 0.038126 0.044501 0.035963
19860131 0.000317 0.026745 0.026765 0.04175
19860228 0.073298 0.08825 0.066307 0.060271
19860331 0.056559 0.053018 0.04823 0.039268
19860430 -0.012753 -0.018426 0.019451 0.011076
19860530 0.053433 0.057979 0.032916 0.0288
19860630 0.022077 0.009967 0.010967 0.002731
19860731 -0.05001 -0.05444 -0.082761 -0.085838
19860829 0.07358 0.069058 0.017323 0.006343
19860930 -0.089844 -0.084136 -0.068655 -0.060414
19861031 0.05298 0.060288 0.030393 0.020801
19861128 0.02527 0.011929 -0.003783 -0.010562
19861231 -0.023371 -0.036105 -0.030159 -0.03942
19870130 0.1345 0.117466 0.118122 0.112802
19870227 0.034946 0.049963 0.074728 0.085552
19870331 0.027426 0.0116 0.016799 0.019874
19870430 -0.006043 -0.029396 -0.03005 -0.025495
19870529 0.007951 0.002424 -0.003272 -0.007786
19870630 0.048735 0.052185 0.021523 0.014544
19870731 0.043458 0.046448 0.025443 0.02071
19870831 0.046213 0.034475 0.025602 0.012928
19870930 -0.022298 -0.024724 -0.025297 -0.010821
19871030 -0.199139 -0.226765 -0.294731 -0.284685
19871130 -0.090103 -0.067051 -0.05015 -0.058542
19871231 0.06548 0.084573 0.054497 0.022103
19880129 0.039771 0.062669 0.061795 0.091765
19880229 0.033432 0.060879 0.076478 0.067733
19880331 -0.041943 -0.015535 0.041196 0.044539
19880429 0.011475 0.007831 0.01893 0.008841
19880531 0.011473 -0.004352 -0.024418 -0.027073
19880630 0.039201 0.062459 0.063333 0.05127
19880729 -0.000411 -0.015994 -0.005433 -0.002028
19880831 -0.030948 -0.027703 -0.020139 -0.022144
19880930 0.04267 0.051955 0.022913 0.013956
19881031 0.030945 0.013948 -0.014927 -0.015075
19881130 -0.009133 -0.025257 -0.033412 -0.03816
19881230 0.017117 0.018028 0.02889 0.027798
19890131 0.071918 0.071046 0.045821 0.049505
19890228 -0.029033 -0.011095 0.004494 0.008568
19890331 0.026084 0.020376 0.023886 0.01877
19890428 0.053636 0.04239 0.024004 0.027621
19890531 0.041332 0.042753 0.033372 0.026537
19890630 -0.006287 0.003887 -0.011226 -0.010943
19890731 0.091464 0.080454 0.033485 0.025981
19890831 0.012235 0.034412 0.021617 0.017153
19890929 0.004051 -0.005745 0.003666 -0.00051
19891031 -0.014476 -0.038987 -0.063807 -0.066103
19891130 0.021663 0.014619 -0.002324 -0.013956
19891229 0.022321 0.018017 -0.007259 -0.023767
19900131 -0.066581 -0.074781 -0.074432 -0.051643
19900228 0.012336 0.021373 0.024179 0.002601
19900330 0.024861 0.016261 0.031943 0.011132
19900430 -0.01531 -0.040769 -0.029128 -0.032647
19900531 0.094656 0.096387 0.053084 0.028336
19900629 -0.003601 -0.012135 0.011627 0.002348
19900731 0.001721 -0.025819 -0.045485 -0.040334
19900831 -0.085012 -0.093924 -0.135053 -0.127085
19900928 -0.040832 -0.0643 -0.097051 -0.085836
19901031 0.006823 -0.027684 -0.06238 -0.076239
19901130 0.053019 0.096312 0.052949 0.02299
19901231 0.022413 0.041288 0.012574 -0.009403
19910131 0.039081 0.061341 0.093931 0.112567
19910228 0.066841 0.07128 0.140083 0.149625
19910328 0.024147 0.023955 0.065622 0.0963
19910430 -0.002811 0.012237 0.003898 0.028176
19910531 0.036385 0.052755 0.028252 0.023484
19910628 -0.041841 -0.056687 -0.044887 -0.035897
19910731 0.047977 0.048847 0.038178 0.023063
19910830 0.025809 0.029386 0.037426 0.015702
19910930 -0.016373 -0.009126 0.017914 0.003264
19911031 0.014056 0.016478 0.036365 0.008265
19911129 -0.03234 -0.048462 -0.039712 -0.027466
19911231 0.117798 0.111706 0.053809 0.018158
19920131 -0.030235 0.006512 0.120155 0.185113
19920228 0.005052 0.023389 0.049727 0.062072
19920331 -0.018471 -0.0237 -0.026945 -0.008243
19920430 0.028233 0.024058 -0.052398 -0.040834
19920529 0.00587 0.008072 0.006464 0.001505
19920630 -0.015218 -0.017322 -0.051647 -0.048663
19920731 0.040451 0.041907 0.032647 0.034898
19920831 -0.018618 -0.023218 -0.027212 -0.028204
19920930 0.008332 0.029615 0.014591 0.008424
19921030 0.00123 0.018379 0.039135 0.014389
19921130 0.031418 0.048064 0.103164 0.089159
19921231 0.011029 0.014712 0.033461 0.048194
19930129 0.000328 0.024171 0.048639 0.077157
19930226 0.011717 0.007707 -0.032947 -0.0168
19930331 0.018974 0.031613 0.028928 0.031737
19930430 -0.028153 -0.029166 -0.036706 -0.020733
19930528 0.027201 0.024509 0.037436 0.030489
19930630 0.004767 -0.000627 0.001301 0.003906
19930730 -0.007145 0.00857 0.012296 0.01819
19930831 0.034928 0.042898 0.045139 0.040327
19930930 -0.005768 -0.000403 0.027397 0.035506
19931029 0.017741 0.009196 0.04077 0.060938
19931130 -0.008795 -0.019592 -0.030032 -0.025355
19931231 0.006755 0.028091 0.0175 0.000277
19940131 0.032081 0.027832 0.042529 0.06185
19940228 -0.031713 -0.019965 -0.000993 -0.008603
19940331 -0.042758 -0.040804 -0.053017 -0.043027
19940429 0.016329 0.001855 -0.009231 -0.018599
19940531 0.020612 0.002153 -0.002114 0.000771
19940630 -0.025368 -0.032869 -0.033171 -0.017254
19940729 0.032307 0.035114 0.002254 0.00955
19940831 0.037264 0.049146 0.048029 0.034204
19940930 -0.023297 -0.025027 0.013615 0.017278
19941031 0.024455 0.019103 0.008116 0.00389
19941130 -0.031149 -0.040866 -0.037813 -0.041899
19941230 0.013466 0.012004 -0.0047 -0.023285
19950131 0.030619 0.019117 0.017512 0.045096
19950228 0.033707 0.054618 0.035274 0.02917
19950331 0.026382 0.029436 0.019433 0.015455
19950428 0.033405 0.011473 0.029302 0.022728
19950531 0.040273 0.039629 0.022552 0.021166
19950630 0.024989 0.02585 0.064447 0.053178
19950731 0.032847 0.038494 0.068192 0.05476
19950831 0.002866 0.019265 0.039301 0.045219
19950929 0.050035 0.027397 0.024054 0.024205
19951031 0.003612 -0.019205 -0.052494 -0.05109
19951130 0.040163 0.056874 0.026194 0.004368
19951229 0.018984 0.005386 0.015105 0.009246
19960131 0.036889 0.022652 0.008261 0.025798
19960229 0.010501 0.02396 0.029244 0.032931
19960329 0.004519 0.018049 0.03034 0.023871
19960430 0.009788 0.02737 0.090983 0.075106
19960531 0.028797 0.016967 0.069758 0.072739
19960628 0.008968 -0.011392 -0.065297 -0.050144
19960731 -0.040952 -0.063569 -0.087742 -0.082784
19960830 0.018382 0.03881 0.056509 0.039189
19960930 0.059604 0.05495 0.039265 0.027018
19961031 0.026342 0.010445 -0.0226 -0.018938
19961129 0.076851 0.069269 0.029668 0.015284
19961231 -0.019159 -0.020698 0.025419 0.010763
19970131 0.070279 0.034529 0.047147 0.06405
19970228 0.005576 0.003747 -0.0197 -0.01314
19970331 -0.044095 -0.043445 -0.060714 -0.049875
19970430 0.06651 0.031018 -0.040528 -0.041671
19970530 0.059059 0.078192 0.123205 0.091756
19970630 0.047572 0.024477 0.054404 0.046234
19970731 0.081395 0.090081 0.060098 0.050122
19970829 -0.062237 -0.019342 0.045472 0.044348
19970930 0.054214 0.055484 0.091571 0.100175
19971031 -0.029512 -0.035435 -0.034247 -0.021383
19971128 0.050634 0.020393 -0.015843 -0.025167
19971231 0.016337 0.035165 -0.00643 -0.026117
19980130 0.017736 -0.023612 -0.012069 0.009948
19980227 0.07086 0.081074 0.070455 0.055418
19980331 0.054163 0.047296 0.047644 0.055752
19980430 0.014 0.004297 0.028415 0.026445
19980529 -0.01665 -0.030878 -0.059249 -0.044867
19980630 0.051494 0.023557 -0.022024 -0.046649
19980731 -0.00017 -0.042682 -0.0629 -0.060271
19980831 -0.144685 -0.151524 -0.22664 -0.203424
19980930 0.068019 0.061804 0.052709 0.014869
19981030 0.074951 0.084203 0.049184 0.025033
19981130 0.067848 0.045348 0.088599 0.079144
19981231 0.070167 0.049019 0.040477 0.000204
19990129 0.053383 -0.003323 0.046057 0.071178
19990226 -0.032374 -0.025706 -0.073165 -0.054923
19990331 0.042068 0.040057 -0.021774 -0.033663
19990430 0.030212 0.089062 0.106948 0.072808
19990528 -0.032422 0.002682 0.025932 0.040646
19990630 0.054705 0.030323 0.046777 0.027016
19990730 -0.03394 -0.03643 0.015635 0.023014
19990831 -0.003395 -0.017022 -0.026719 -0.024424
19990930 -0.02552 -0.039952 -0.007075 -0.027344
19991029 0.074692 0.054668 -0.025265 -0.017635
19991130 0.029276 0.030991 0.108352 0.097106
19991231 0.07433 0.070082 0.121198 0.090552
20000131 -0.049271 -0.035176 0.062493 0.073146
20000229 0.006236 0.055335 0.159293 0.138943
20000331 0.080752 0.035944 -0.056808 -0.041013
20000428 -0.052073 -0.057757 -0.103435 -0.074327
20000531 -0.040299 -0.019483 -0.071099 -0.047528
20000630 0.049073 0.020176 0.079196 0.0391
20000731 -0.019595 -0.006724 -0.016851 -0.008923
20000831 0.073036 0.09479 0.080707 0.040366
20000929 -0.055925 -0.012409 -0.035389 -0.02315
20001031 -0.016928 -0.024146 -0.081303 -0.071231
20001130 -0.099776 -0.106173 -0.121415 -0.103268
20001229 -0.002043 0.059664 0.00058 -0.038043
20010131 0.027736 0.039066 0.226394 0.311707
20010228 -0.101532 -0.068282 -0.108268 -0.098546
20010330 -0.069127 -0.062734 -0.064777 -0.060622
20010430 0.075259 0.089705 0.064281 0.057295
20010531 0.003658 0.013181 0.116755 0.068976
20010629 -0.025853 -0.012387 0.039348 0.002979
20010731 -0.008703 -0.040605 -0.038963 -0.007435
20010831 -0.068487 -0.044918 -0.031444 -0.030807
20010928 -0.071311 -0.113755 -0.136855 -0.112574
20011031 0.014415 0.025727 0.090373 0.091326
20011130 0.072397 0.076042 0.095875 0.081155
20011231 0.004767 0.028058 0.081882 0.076263
20020131 -0.01343 -0.009704 -0.010587 0.040469
20020228 -0.020976 -0.016628 -0.053352 -0.044078
20020328 0.032069 0.059947 0.100117 0.076656
20020430 -0.067378 -0.023904 0.004501 0.003763
20020531 -0.006208 -0.016861 -0.043107 -0.007709
20020628 -0.07285 -0.063818 -0.021562 -0.056
20020731 -0.064642 -0.098766 -0.161903 -0.108914
20020830 0.006871 0.005569 -0.014363 -0.00477
20020930 -0.108413 -0.088915 -0.081784 -0.075997
20021031 0.092271 0.065898 0.038566 0.050954
20021129 0.050436 0.052604 0.15276 0.145457
20021231 -0.059577 -0.041226 -0.07646 -0.048728
20030131 -0.027668 -0.012594 -0.018322 0.012567
20030228 -0.016683 -0.0105 -0.028244 -0.025181
20030331 0.012117 0.013815 0.019103 0.011853
20030430 0.080718 0.071879 0.10445 0.107606
20030530 0.043424 0.084414 0.138447 0.161663
20030630 0.01605 0.003247 0.042153 0.066438
20030731 0.015773 0.023213 0.075041 0.088564
20030829 0.01242 0.041446 0.051915 0.046835
20030930 -0.009679 -0.018211 0.003061 0.041676
20031031 0.052378 0.068004 0.086485 0.085589
20031128 0.00579 0.024705 0.042914 0.045406
20031231 0.051521 0.039646 0.02854 0.040836
20040130 0.01703 0.018164 0.060623 0.081841
20040227 0.012491 0.022962 0.003868 0.010115
20040331 -0.019366 -0.002241 -0.011064 0.003629
20040430 -0.009956 -0.021342 -0.036728 -0.035353
20040528 0.009896 0.01678 -0.006242 -0.011434
20040630 0.013304 0.02999 0.041582 0.019927
20040730 -0.031796 -0.038594 -0.094926 -0.067722
20040831 0.004798 0.003993 -0.014695 -0.011703
20040930 0.00493 0.036002 0.05304 0.039852
20041029 0.009385 0.029718 0.020723 0.012952
20041130 0.034769 0.054769 0.097557 0.079918
20041231 0.033266 0.037829 0.03934 0.063543
20050131 -0.024632 -0.021162 -0.046094 -0.036114
20050228 0.018141 0.026701 0.004226 0.006683
20050331 -0.019273 -0.004187 -0.035473 -0.038814
20050429 -0.01388 -0.02608 -0.0654 -0.060218
20050531 0.030747 0.042263 0.065941 0.043397
20050630 -0.003993 0.021397 0.045218 0.046842
20050729 0.032436 0.051549 0.065801 0.078089
20050831 -0.007371 -0.01512 -0.016978 -0.004191
20050930 0.005264 0.01637 -3.1e-05 0.014659
20051031 -0.010976 -0.021264 -0.02841 -0.029821
20051130 0.035713 0.039034 0.048004 0.02927
20051230 -0.003227 0.010571 -0.003596 0.015593
20060131 0.018365 0.049485 0.092421 0.086471
20060228 0.002425 -0.00559 -0.002268 0.008618
20060331 0.010697 0.018173 0.043685 0.049735
20060428 0.013026 0.008313 -0.004533 0.005218
20060531 -0.025278 -0.030928 -0.057655 -0.045813
20060630 0.001526 0.004839 -0.009036 -0.010139
20060731 0.011175 -0.010095 -0.037841 -0.032141
20060831 0.024315 0.026311 0.029492 0.021979
20060929 0.027031 0.017125 0.005055 0.004943
20061031 0.031948 0.036544 0.066671 0.048967
20061130 0.013591 0.032955 0.024847 0.026747
20061229 0.018246 0.001885 0.014756 0.024258
20070131 0.013389 0.027922 0.011922 0.016359
20070228 -0.02683 0.004218 -0.005545 -0.001988
20070330 0.01234 0.007603 0.009135 0.00058
20070430 0.042318 0.038548 0.009336 0.022101
20070531 0.034898 0.032174 0.033399 0.019649
20070629 -0.016701 -0.015409 0.000163 -0.005619
20070731 -0.026887 -0.02759 -0.073512 -0.059024
20070831 0.020688 -0.00176 0.014939 -0.019377
20070928 0.040631 0.033257 0.009184 0.020841
20071031 0.022284 0.019574 0.022555 0.002466
20071130 -0.038467 -0.036631 -0.086068 -0.087631
20071231 -0.003832 -0.009602 -0.003144 -0.007221
20080131 -0.063025 -0.054291 -0.070594 -0.049898
20080229 -0.028744 -0.033061 -0.057806 -0.028062
20080331 -0.002972 -0.018732 -0.003552 -0.027673
20080430 0.043661 0.060932 0.025038 0.01171
20080530 0.009706 0.021636 0.050012 0.023502
20080630 -0.080792 -0.086946 -0.098229 -0.088043
20080731 -0.006815 -0.021677 0.064425 0.019594
20080829 0.012539 0.00851 0.038711 0.030601
20080930 -0.080147 -0.121923 -0.076046 -0.094562
20081031 -0.150882 -0.19966 -0.208056 -0.23188
20081128 -0.065631 -0.091325 -0.125722 -0.168787
20081231 0.006305 0.038179 0.052535 0.02162
20090130 -0.08329 -0.067697 -0.10451 -0.036255
20090227 -0.09942 -0.096798 -0.131766 -0.120998
20090331 0.087706 0.083287 0.109568 0.105156
20090430 0.070483 0.151458 0.239415 0.249601
20090529 0.05298 0.054224 0.091378 0.140857
20090630 0.004362 -0.000533 0.028536 0.055363
20090731 0.070912 0.085852 0.100511 0.107204
20090831 0.029726 0.035835 0.044097 0.081239
20090930 0.031177 0.049051 0.07414 0.069305
20091030 -0.012101 -0.03853 -0.080076 -0.07462
20091130 0.063006 0.05156 0.014429 0.010572
20091231 0.009555 0.047107 0.081933 0.074133
