Source,As,Ba,Cd,Cr,Cu,Mn,Mo,Ni,Pb,Sb,Sr,V,Zn
Site3,-2.159657302,56.39396977,0.21272119,15.14833777,23.4302665,7.005969213,1.632141901,3.533081486,14.63497359,6.44032442,9.084687015,11.55535595,29.59569684
Site1,-4.173849811,39.63511008,0.102129284,1.391830836,25.21415811,5.49867805,1.776180984,-1.22654636,5.792478218,5.724051953,1.39085888,-7.005525639,31.82497426
Site3,1.049520581,78.2687308,0.1080294,-0.221356468,32.73865296,2.708083759,1.519755396,-0.99133851,4.738153878,5.611120752,2.34804874,-9.666526528,59.55843208
Site1,5.503276926,88.42060385,0.177127834,11.98100906,38.65927338,8.618030377,3.972455671,1.087423949,15.11507141,10.26703424,1.653712829,11.74635763,62.54881844
Site3,3.32135698,94.17483184,0.473716859,3.721919854,57.77214088,18.75773469,4.176332255,2.3751964,40.32229266,14.94340624,2.367201252,-2.046249065,92.45956723
Site4,-0.216042244,27.23811381,0.122149289,5.496833411,17.29401156,4.098051954,1.234099363,0.543065744,6.605804099,4.397844528,0.135701693,-3.571174938,31.02813582
Site2,1.506870879,87.08251484,0.27468711,4.989418356,65.72645994,13.12960326,5.14287703,0.861197836,18.51113421,16.35337355,1.249243898,-2.320298705,75.79527588
Site1,1.300921233,38.79311148,0.115577833,1.56147917,31.22080093,6.992355029,2.327124461,-1.071164485,8.712359537,8.252148245,0.932193746,-0.49103504,34.52326148
Site3,5.830291195,60.48489249,0.207874158,5.160734934,45.43447911,7.647849532,3.08362286,-0.742143578,12.33727091,10.05767438,1.38328291,-10.33148845,59.91604732
Site4,4.75272154,64.75051388,0.076754033,2.060503839,43.42700614,5.569235438,2.88942861,-1.671669346,7.45597766,9.568146921,1.006539172,-10.65177877,50.34071125
Site2,0.333770665,49.05741257,0.22400912,0.701088846,43.25877192,8.440900986,2.665516873,-1.352518759,14.97411975,9.921799755,1.218082114,-3.934871946,55.0655256
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site1,-2.126482822,57.3933243,0.171661274,2.198679604,53.43775567,8.202956015,3.02786876,0.265680235,11.15930529,9.771479256,2.031320883,-12.05184718,67.7360319
Site3,-1.115588707,74.70953016,0.149189518,-1.10920188,41.26903082,9.301826851,3.222769891,-0.420015531,10.45369056,10.828326,1.641791456,-3.169175176,65.12662955
Site4,2.243858571,68.2282151,0.090888563,1.708203002,35.08646221,6.076370647,2.531002424,-1.106298696,8.11555485,6.556840724,1.843902627,-7.060926703,59.61226608
Site2,6.304476137,67.32360946,0.128848903,3.675987261,44.97018694,7.342901208,3.218583174,-0.111690341,9.662802646,10.59988705,0.966417631,-3.90206312,68.22808362
Site2,1.945718029,63.50949855,0.494290216,0.742245271,37.41618371,5.393589073,1.860895411,-1.454592539,11.42277047,6.734309157,0.705248875,-9.268578117,57.84815948
Site1,-3.50172631,27.47434724,0.173436153,1.346909719,15.72611519,4.298790142,0.915237178,0.474938729,7.664765989,3.654165975,0.294603525,-1.380925239,33.60919992
Site3,8.655156338,59.19402254,0.493265189,2.522523403,41.45236538,7.730081013,3.00744752,-1.547991176,18.8780977,10.49181504,0.994662473,-9.880019084,76.16600482
Site4,1.789227558,62.60136314,0.344461805,0.875784705,30.07906773,11.14295984,2.164444913,-1.130356839,10.60749806,7.687070566,0.66538029,0.637401145,56.87270851
Site2,2.182211864,41.40237965,0.178485846,0.447206859,24.83371177,6.420429055,1.85692826,-1.855632074,8.582062625,6.034305494,1.530803202,-1.709438031,47.71366305
Site2,5.239681586,59.8089305,0.180534881,5.179453455,41.23876344,10.11385901,2.963103403,0.346211142,14.10524737,10.00572972,2.874375523,-0.989554769,62.65121822
Site2,2.510434338,46.43939628,0.187068263,1.946062266,25.24891516,5.435576705,2.024879428,5.036346224,8.923993476,6.587167609,0.710001704,2.875479031,50.37702507
Site2,3.276818182,40.78743129,0.27468711,7.367253214,37.3861596,8.267297131,2.684807874,7.297457081,13.58445333,8.657248628,0.983366602,3.814280504,44.89378122
Site2,-3.114602693,61.90201496,0.239422929,5.813041036,52.98641044,10.77497804,4.219171415,2.699981827,12.77741483,13.22543705,2.629751279,-0.387157132,58.85330884
Site2,2.213090645,61.57136094,0.234286185,55.33458455,17.47006368,9.223475849,2.552887749,28.65556125,9.288082431,4.802968413,1.586656345,41.5447547,81.00554838
Site2,2.997758027,39.64881711,0.141519104,0.795691325,26.29349886,4.963670587,1.344056929,-0.6503975,10.08561902,4.93573398,1.537382014,-5.365723287,30.40396322
Site2,-1.910139541,57.04636498,0.48085159,0.09117844,89.62610404,15.23050408,3.888687115,2.756308439,26.62824209,13.44964737,3.893457887,-2.965383924,91.15398954
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,3.783407641,45.36723333,0.340886936,1.724349069,28.22196635,6.980470713,2.445620491,0.12970577,16.72205032,7.818325452,0.499847153,-2.270258211,51.12440785
Site4,-1.790718019,42.68097811,0.155208819,30.10768916,29.29852854,6.625014371,2.607276613,15.74479733,7.41617996,6.358633619,2.028189548,20.97978203,56.58315781
Site1,9.53733505,-4.934138352,0.039585246,-31.44502712,-30.42831103,-10.84379118,-0.904669443,-6.974381891,-0.005409269,-0.678067853,-5.562775925,-46.213043,-11.90445255
Site3,-3.188194622,22.31579153,0.189483503,0.220109372,5.225200179,1.724281998,0.549107384,-0.723770838,17.5937303,2.258862262,1.479453013,-3.618256556,27.50811746
Site4,-0.174794407,65.2578408,0.098827952,1.966942132,37.16389051,5.576929017,2.816345733,1.631985735,14.12150788,8.666070584,2.807778656,-4.185923157,54.41860373
Site2,-2.715875127,49.50613169,0.362585541,-1.174190575,27.06752141,6.161783589,2.011084724,2.107193562,14.88731979,6.497002928,0.803829206,-7.726438271,54.34653126
Site1,0.400461927,52.45333144,0.176549106,3.294989382,32.33238231,7.075468503,2.613572507,8.177957362,12.47101316,8.248888533,0.889525442,1.061996963,49.71374664
Site3,3.659034613,22.3963806,0.390874581,-1.245415654,13.50897497,4.295920562,0.881117732,0.472588378,10.46689809,2.757645165,0.809299197,-5.848325823,45.71943836
Site4,0.465201731,42.13101915,0.080269786,0.45013955,34.20040823,5.509554569,2.613102977,0.007037418,6.674914511,8.896245226,1.732878568,-6.761130825,34.00074812
Site2,-0.175330093,66.48631294,0.217577152,1.299133919,32.18069118,6.471353601,2.630018131,-0.320528617,10.41648629,8.720535162,0.8164164,1.003439971,56.77405178
Site2,-1.073859277,40.72281448,0.13964912,2.172387882,22.02450902,4.378515097,1.702494939,-1.36082412,6.776546,4.464324116,1.160983611,-2.426238366,41.07581919
Site1,-3.625665536,351.6012524,0.455523058,45.20120875,79.80972825,22.54385975,6.967869768,12.46316214,28.31943875,18.57622069,2.699883234,33.2707112,190.7535102
Site3,-7.238799004,48.6803143,0.709177463,11.14502086,24.40642778,7.804711354,2.27600679,2.654692331,13.81420128,5.328544787,1.266264162,-3.732496556,77.03618263
Site4,-2.573232546,60.56641515,0.752714533,0.214908535,38.74108374,15.03687933,3.003422576,1.968788511,29.85524548,9.342977681,1.981114283,-12.34194917,114.7286487
Site2,-0.9181509,57.23599738,0.572357023,-1.040313061,35.44415309,8.742868721,2.474540911,-0.951513434,12.05553337,8.290518408,1.776863433,2.901630914,62.39284122
Site2,1.851693116,34.79345798,0.14463031,-0.254285347,20.94691144,4.411472668,0.633607326,-1.212650555,2.027511982,2.660415172,2.414520117,2.871361595,49.52684164
Site1,-1.169669452,40.11997958,0.437852653,0.911993246,29.76878162,8.30588128,2.376468872,1.017538577,16.94957755,8.608890206,1.231766682,-4.651931588,57.10800328
Site3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site4,1.044118424,45.80902943,0.543644711,4.650224891,40.69940382,16.05353026,3.169888201,4.437951167,22.52042172,9.223675599,1.758235904,0.850645426,105.4635712
Site2,-0.244594319,53.57603376,0.445164179,9.3326414,38.06741131,13.86385689,3.205046613,4.559374101,19.33639729,10.0088504,4.031674223,-5.85747016,65.52914756
Site2,-1.010647202,65.00736,0.23810003,235.840152,43.60740836,23.80438858,3.57589786,118.1326258,8.533729108,8.404241686,9.578058169,217.1032253,84.44265614
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site2,4.84626428,62.7326556,0.031697021,-1.302811578,26.72333376,5.573753052,2.119184337,-1.528837333,7.142216788,7.12465179,0.56325179,-5.54298474,42.26221324
Site2,3.0465326,70.8546869,0.435176811,4.473614516,71.85678208,15.23336814,6.050310997,1.779901725,21.5550768,18.88147335,6.681665487,3.989876917,71.18864661
Site2,-0.26830212,47.95918112,0.167376727,0.29613148,34.72573951,4.459590571,1.793328389,3.107624105,4.179272168,5.189009296,1.247717494,-3.930497436,50.28772984
Site2,-1.943071486,46.2875912,0.086982267,-0.380411427,41.85784446,6.552693035,2.709889189,-0.684327373,7.936255027,9.433450084,0.508885822,-5.818537785,35.30161203
Site2,-0.989206246,66.61039609,0.29522155,0.215463375,53.95573115,11.56803446,4.190991397,4.13943624,16.58219261,12.66555658,1.272925503,-3.932454227,65.54286111
Site2,0.509825953,49.81756452,0.133567657,-2.50979663,30.33859112,5.778568471,1.704858889,-1.897172322,4.90295047,5.222551676,2.242381855,-7.409688603,49.18643434
Site3,5.091659638,53.38984923,0.187495466,11.7800934,47.89633821,11.57528458,2.940258309,7.920778585,26.04859735,9.585868561,1.008891014,-0.898714135,81.1888544
Site2,-3.541288612,61.83152322,0.092101012,9.23607156,34.82366382,6.125385916,2.087646537,4.940249776,7.910010071,7.658199228,1.114482609,-3.507904637,56.48995233
Site1,-0.654350171,41.27253246,0.175383451,2.614359093,32.76049947,7.3660117,2.204088607,0.763659855,9.464976933,6.756813912,0.870611349,-3.725602763,40.74386893
Site3,-1.737710769,59.01842844,0.141833268,2.112108515,34.38580273,6.508074056,2.69477153,-0.920710656,11.13361443,8.520938147,0.444387985,-6.434197184,46.15754066
Site4,0.370413081,52.73135856,0.206839599,1.03465613,50.27637015,9.046633257,3.462002456,-0.124994263,12.67339378,10.81878642,1.525678416,-7.842362036,81.47613646
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site2,7.167162048,72.83304164,0.299976562,-5.087114764,52.72327686,4.386293157,3.379274376,3.806366908,12.338048,12.59970795,2.271337269,-2.951620141,78.93017323
Site2,2.748283328,88.13859058,0.249797637,-3.890288155,55.31509516,10.24914369,4.380123963,0.680459503,26.71202661,17.35275664,2.12805933,-4.298392954,81.96541547
Site2,4.649585734,99.000832,0.308347175,-1.944479918,38.67301749,5.62800625,3.428937337,-0.024022792,11.54182452,11.47832405,1.457349469,-6.591144405,106.6222271
Site2,0.775496818,70.39494667,0.29082146,1.279865689,66.34970987,12.21025652,4.689543283,1.992226771,14.66873759,14.70169606,3.382407956,-2.538010766,62.52352727
Site2,1.869273577,49.72099113,0.228443894,-1.872214638,39.33518645,6.972961822,3.885447451,0.36726272,14.95510393,10.44883595,1.471661563,-9.390203264,48.10740494
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site2,4.684110936,62.25707469,0.321276948,3.360318138,62.19766737,10.77144858,5.076664819,-0.544204328,21.27809598,15.39080728,1.795113579,1.307868608,63.08986616
Site3,2.501780983,40.16487419,0.132615697,0.620726344,21.53117,4.838450356,1.908494964,-0.427728396,7.097185119,4.944960181,1.003490317,-4.371884296,37.34271615
Site4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site1,2.039524865,42.35425626,0.152555109,38.72639962,28.00761941,3.820928951,1.906718127,3.419174864,7.765834979,4.722356031,1.004787038,23.85022633,53.30612951
Site2,0.824002753,68.56002359,0.130929345,0.71886568,47.27298495,5.669157032,2.490527917,-1.081365748,11.71663259,7.758439011,2.714728616,-3.46351847,50.73631502
Site1,0.275468788,74.3749434,0.104832536,0.53592778,50.35194068,5.83767533,4.214789844,1.106369967,11.0596621,11.34725512,3.823832044,4.706728204,65.34307501
Site2,8.619543755,88.54647516,1.162910916,8.456627939,62.57558314,12.81159168,4.519425329,1.703184928,46.2973426,14.06553921,9.65406421,-6.812455593,97.1700689
Site4,1.662518155,58.17291983,0.09974107,4.817691061,45.46921403,8.626452561,3.507245342,-0.657637336,6.479324768,9.230548314,1.725260012,2.516206473,41.41346944
Site1,2.694692553,48.25127465,0.146152081,-1.13507859,25.45394666,3.239593912,2.247650646,-0.904431481,8.707051636,5.869573308,0.490935435,-9.143322877,51.72086399
Site1,10.48582467,76.6985007,0.233061353,0.891519592,54.80429629,7.673711476,4.20736956,1.279395408,15.85316204,12.99183645,2.060449041,2.975710975,92.18986923
Site1,1.117468266,47.70646789,0.134026015,-0.770528271,39.99462259,9.138177185,3.026708914,0.337669635,12.67638205,9.513274448,1.447094139,-0.339622422,63.63484053
Site1,-2.654824895,38.66090641,0.296974163,194.9769382,28.61412854,16.17910452,2.105319785,84.17465417,5.599115029,4.401818354,1.443799231,158.9659446,78.98092731
Site1,1.993352282,56.32248254,0.108083399,0.280976079,22.82521009,4.534677998,1.867602495,-0.817017344,5.79146069,5.902842205,0.819441135,4.043200231,41.19166892
Site2,2.86864099,44.45109746,0.186539685,-1.014751207,35.8059815,5.343745491,2.992177269,-0.240748328,11.26149927,9.481436793,2.0170225,-7.031561657,37.63998345
Site1,3.702595428,32.87627043,0.251042654,43.15187695,232.2240713,4.566182963,4.727366369,69.20554666,17.49938915,4.716124206,15.84185488,44.86966672,196.8592289
Site2,0.675987371,109.4170329,0.134267507,-3.123199864,28.49672163,3.618328077,2.065875154,-0.429327815,7.026527076,6.396522791,2.375886454,-3.102474321,97.26876224
Site2,-1.645691213,39.58411522,0.119159406,3.533082377,25.3663723,6.125091426,2.223212228,2.538928557,9.466840883,6.339225034,0.76204781,-0.266244283,37.0618818
Site2,0.278454899,40.82722206,0.126616929,-5.128674174,29.72002877,1.351351092,1.833280838,-1.033258306,5.995954465,7.455124087,1.575544781,-15.2947304,36.37867159
Site1,3.097799284,44.67888513,0.162289854,-2.203671554,19.58606982,3.243644703,0.962443715,-2.596903162,2.503583942,3.562542198,2.945497982,-10.91524196,49.01245654
Site3,4.238712398,60.81727234,0.167165768,2.461057452,30.30757396,5.082611885,2.661415903,0.268747628,13.29731684,7.720536925,3.317932089,-5.551149437,70.74009895
Site3,-1.892293123,52.69490589,0.177208941,-2.256272134,29.3793185,2.438806901,1.897290263,0.784125217,7.942852784,5.642997313,1.280687413,-5.8179893,52.38068316
Site1,1.635737035,37.15830023,0.217989242,-2.090788672,24.42143471,2.744301293,1.383072379,-1.004596532,7.123695788,4.551566,1.108841289,-11.37456659,53.6394374
Site3,2.772185315,59.58691528,0.408378567,18.07093132,32.29137318,4.808762728,9.257773993,1.315204765,12.20763743,6.618323001,1.917975692,24.92665948,69.65508012
Site1,11.17598141,55.35478401,0.259376293,-1.418982751,45.97272356,4.536392728,2.868113149,-0.027901472,6.50924905,8.33075176,1.741907603,-18.11801308,84.73567215
Site3,2.642316969,61.51953873,0.168824885,-0.587175071,61.75394633,8.330821576,4.867746461,5.026961088,11.12773501,15.58546002,2.318403163,-2.383663517,64.51826143
Site1,-1.135867896,45.03951778,0.101495099,5.193081729,29.81074872,4.001330122,2.31241475,2.86837497,9.012691212,6.516383022,1.238182723,5.555092179,60.33365807
Site3,3.273464216,50.30367456,0.244328397,0.001530118,35.06641641,5.41904035,3.339095433,0.619972807,9.148297466,9.452661717,1.507838458,1.001852092,67.28310762
Site1,2.111512822,27.34556589,0.194264783,0.28621486,18.23769482,2.808462322,2.818637437,-0.632769262,8.772926249,4.569359397,0.511500146,-3.186861128,36.56198131
Site3,-3.090136377,50.9663361,0.127962721,-0.881644874,50.71530953,8.88369152,4.139945042,-0.819873026,9.379031558,10.29949515,1.709655383,-10.5209131,42.42378085
Site1,6.534821153,49.98411263,0.47278945,-4.537811851,36.89142119,4.292423076,2.341514555,-0.030177069,10.62386661,7.429406118,0.910832051,-8.279696048,56.36189027
Site3,2.38221769,59.16099971,0.301159735,-1.606427164,59.1413292,6.933604946,4.111545624,2.301811836,13.97121903,13.84850988,1.211766233,-2.149025066,60.86581021
Site3,5.959068282,36.25450654,0.44557834,-0.395689135,29.40961594,5.588784075,1.988943468,0.176378847,11.64889898,6.584886054,1.200392812,-7.216408178,109.310123
Site1,6.031276657,61.08382733,0.256156826,-1.758530755,34.9158203,5.31665106,2.39213682,2.679499801,9.101313576,7.904058191,2.138967773,0.805118268,70.2081604
Site3,1.601884049,83.29000325,0.426016286,-0.552009623,56.07889353,11.15238638,5.103792758,0.786921693,12.4263509,16.14444232,1.618961467,-9.593072679,82.02098271
Site1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,1.532429737,55.70769052,0.126192506,29.75732796,35.27214914,7.689167836,6.6433067,22.22678761,10.5821547,7.855083637,1.561433505,29.36109066,80.05182708
Site1,-2.600507663,35.52706923,0.120145768,-0.804842405,34.60591293,5.285410025,2.790361925,1.411057906,8.946325224,7.824658171,0.7652021,-5.552726127,40.0973779
Site3,8.204003346,77.86433386,0.215832857,-1.5545052,66.02379155,8.489809799,5.767427749,3.596942066,16.78415315,15.8450666,1.432212554,-9.39759682,66.75167114
Site1,2.513211259,46.31535911,0.04226495,8.82230293,41.60850053,3.340598976,2.811590667,2.286771128,3.344556665,7.013336445,1.742565887,15.80561049,47.44024998
Site3,7.575725935,44.46625447,0.122298971,-4.552095792,38.07140897,2.129009927,1.718284946,0.92516285,3.646730384,7.06410588,2.675903953,-16.80365347,53.63322111
Site3,0.740124727,102.0561967,0.211397494,6.421998913,47.87503711,7.839082179,4.889482634,8.029053979,8.203155915,11.06853764,2.253381814,6.551696801,88.9314042
Site1,3.458861758,49.680031,0.22620852,0.213498088,35.74732717,3.888338131,1.495356846,-0.949921954,6.346855663,5.84021128,1.388843363,3.526279033,58.51099449
Site3,6.658439174,68.17597622,0.481733122,21.70579128,33.93314776,5.594961486,9.915531991,0.725299934,13.50138723,7.728849094,2.158454255,14.62378615,85.59276072
Site1,2.264207983,68.84676789,0.130812146,3.598078859,70.61903046,11.09235107,6.384901185,0.824038368,9.80905512,16.6196139,1.617326177,4.525556499,42.84758271
Site3,4.891703468,72.70445617,0.220253394,0.353981667,58.04740282,7.884731458,4.519057794,3.038060509,9.84104756,112.7419899,1.593969835,-4.813154392,70.3602827
Site4,4.587572273,78.94980181,0.134967536,4.391184912,62.48890658,7.344408559,5.044135322,-0.94850185,8.258209806,14.60773577,1.681284353,-8.530725962,54.52713542
Site2,3.438371573,53.17011444,0.20013529,0.756398049,53.5526564,10.1553567,4.578388109,0.091295959,12.24133385,13.04502164,2.325629723,-3.480938809,67.23018593
Site1,0.002504046,62.14605512,0.159249843,1.373214294,48.01599364,13.26039678,4.94033504,-1.361737664,10.13888382,11.19382657,1.778337836,-3.382882762,43.94335277
Site3,3.895238415,61.26742788,0.211266105,56.52194909,57.3470033,7.754144639,3.641973198,-1.027241302,251.6321168,15.47676621,4.113020227,43.65167593,70.98398328
Site4,4.983668996,117.4172065,0.409439052,-0.424755442,45.42448475,6.729441094,3.317778676,0.995573952,10.4605989,8.558172705,5.640494339,0.877254004,148.4832443
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,2.3929903,53.54643531,0.170687718,-1.394464476,39.31147462,7.412837487,3.673647907,-0.816853958,10.76035999,8.990211888,2.905109054,-0.542246075,47.72678354
Site4,0.572999896,302.098878,0.272173848,15.45487547,80.4499027,19.55149716,7.158938013,2.737723196,20.76755578,16.14458693,3.437436147,16.17579308,169.1298379
Site2,-2.999020308,61.62512874,0.250307979,0.934157871,42.41380088,9.875777619,4.33955288,-0.565952357,16.06396558,10.13191777,1.376378322,-4.764989795,64.97941136
Site1,1.40783531,79.96045177,0.335059678,3.383759319,57.69558761,12.27638705,4.918629742,2.698188494,25.21987107,14.17559604,1.004032413,-0.79652856,80.18384529
Site3,0.003717798,93.49369218,0.449140462,8.22916347,76.59987034,15.58303053,6.988099523,3.233242662,25.12600539,17.3881764,1.45574594,-3.013572422,98.43116102
Site4,-0.938008784,32.21407291,0.126842391,45.50215573,299.4580052,6.380099906,2.130762941,21.33299196,40.84895424,4.033977236,0.777958108,27.30572355,91.34690489
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site3,1.369802742,89.64467545,0.066958598,4.745390729,44.00328687,8.574858072,4.226437058,1.227911237,5.852591997,9.444249673,1.751529414,0.517034476,67.51419345
Site4,-1.309775458,52.1503273,0.116690496,0.884019876,46.83402288,9.135373319,4.196720517,0.591759017,6.328242212,10.84437319,2.730678913,-1.487286625,40.46288624
Site2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Site1,-1.956077055,54.18696361,0.193867308,7.768762161,60.56081459,11.9568022,5.527435767,0.134093925,11.0065983,12.87404075,2.143980247,9.62511391,46.21506323
Site3,-3.269406373,49.01530393,0.047773984,0.102931332,30.86786033,5.624082627,2.542886915,-0.463733411,3.969950198,6.369108374,1.500927172,0.463656822,38.25653604
Site4,1.023848577,44.59425833,0.289668533,1.556501367,45.61134189,10.84889441,4.198261495,1.082463417,16.32279976,10.03725401,1.341727451,2.896377921,53.74467436
Site2,-1.105297434,55.56150887,0.108128662,36.0381426,21.15799801,7.451306714,3.977572804,27.11955575,4.64416405,4.462931474,1.22826353,35.01160547,86.34520173
Site3,-1.740542362,44.45927008,0.134433758,27.61165799,25.6668143,8.81624223,3.515333107,9.13191041,9.383255382,6.307148549,1.354731598,22.19116679,47.72215209
Site4,-1.399279383,48.02226897,0.180738044,-0.926862603,23.65757073,6.335749344,2.384939504,1.436606546,8.631925528,5.327747916,0.805618585,-2.648201382,62.61805673
Site2,-2.530423385,55.19662108,0.150390282,7.489482847,35.71348962,9.794774105,3.588424102,3.01174221,10.08114948,7.969578979,1.547058594,-6.31786593,52.17663419
Site1,-3.852908035,77.19148947,0.205842591,2.134266314,59.44672153,14.1229587,5.781753887,0.748706177,15.44681619,12.18036799,3.129556404,0.874526885,76.06205437
Site3,-1.121304545,109.2753614,0.366262968,18.52266928,43.59975437,10.41302225,4.790687252,5.26155898,17.13746452,10.07366853,1.646782947,15.94120714,103.1183995
Site4,-1.840588162,84.30253363,0.371734158,31.74129032,54.65802429,18.23242272,5.506395644,15.79322365,15.49729288,10.96880377,1.592766221,25.12402442,126.672289
Site2,-3.003412487,107.6412797,0.079354668,5.638708381,26.86015851,7.143709505,2.749456072,0.187163507,5.126690974,5.230692407,1.872759734,5.88454178,81.31655316
Site3,-2.81173592,52.24405685,0.095665847,0.977081814,35.43027774,5.402058016,3.086161279,2.488792529,6.29153132,6.62860215,0.883438009,-8.595678261,63.20921415
Site4,-2.82568945,84.9662396,0.332512392,24.60795093,37.90667745,11.3240793,3.417667883,9.248612391,12.13675943,6.54132323,1.39888228,22.47318221,97.12629563
Site2,-0.862278884,71.05119593,0.095274868,2.267430619,40.84697863,7.270108486,3.001856443,2.35744993,5.912041925,8.209822237,1.104445009,-0.935882705,60.74688357
